date,AAPL,MSFT,JNJ,JPM,XOM,PG,CAT,NEE,SPY,AGG,TLT,DBC,GLD,VNQ,BIL
2007-06-01,3.541300,21.646490,36.204765,31.814674,43.009922,36.573105,48.193901,8.921081,107.917892,54.916950,47.069202,20.873186,66.440002,35.364330,70.177696
2007-06-04,3.628934,21.738478,36.313259,31.612385,43.009922,36.406013,48.286430,8.860516,107.931931,54.983746,47.283745,21.059988,66.540001,35.507481,70.193001
2007-06-05,3.669015,21.639410,36.147682,31.397848,43.030357,36.561581,48.508469,8.639390,107.504677,54.827885,46.986744,20.978769,66.370003,34.943867,70.193001
2007-06-06,3.698025,21.434200,35.913593,30.993252,42.703518,36.406013,48.526962,8.497601,106.348961,54.850117,46.964710,20.970648,66.410004,34.706799,70.223686
2007-06-07,3.710889,20.960087,35.399696,30.539627,41.855789,35.904781,47.681980,8.201251,104.429909,54.471535,46.123306,21.076233,65.260002,33.615360,70.208321
2007-06-08,3.723450,21.264372,35.473942,30.901302,42.223484,36.336891,48.428276,8.296255,105.788628,54.404694,46.084812,20.702627,64.220001,34.017944,70.223686
2007-06-11,3.594839,21.243130,35.553883,30.913578,42.417526,36.325363,48.570114,8.561400,105.970749,54.443676,45.952835,21.100595,64.699997,33.507996,70.254242
2007-06-12,3.600521,21.122835,35.302647,30.251524,41.876217,35.812595,48.156879,8.365731,104.815094,54.120705,45.287418,21.043745,64.099998,32.926498,70.193001
2007-06-13,3.514383,21.504955,35.502491,30.827738,42.565632,35.933594,49.297894,8.542973,106.383972,54.204285,45.826363,21.311766,64.529999,33.655613,70.254242
2007-06-14,3.551770,21.596947,35.656658,30.846138,43.290794,35.962391,49.791332,8.537302,107.063377,54.310028,45.710873,21.514812,64.599998,33.293297,70.284897
2007-06-15,3.604111,21.575712,35.839367,30.993252,43.888302,36.048832,50.025681,8.691854,107.672531,54.504944,46.024326,21.644760,64.849998,33.660091,70.346199
2007-06-18,3.741397,21.589874,35.588127,30.913578,44.102814,35.587910,50.482117,8.594016,107.545921,54.543884,45.930847,21.644760,64.949997,33.141201,70.361504
2007-06-19,3.698626,21.554499,35.639519,31.171026,43.837242,35.616718,50.876839,8.585507,107.813217,54.716499,46.359783,21.433590,65.480003,33.203835,70.361504
2007-06-20,3.635514,21.236057,35.422558,30.318964,42.294968,35.685848,50.192200,8.360059,106.314934,54.549507,45.985844,21.457960,64.709999,32.206314,70.376816
2007-06-21,3.705803,21.384661,35.462509,30.551895,43.050774,35.651279,50.247707,8.408273,106.905830,54.482651,45.765862,21.360498,64.559998,32.385250,70.376816
2007-06-22,3.678883,20.868093,34.674606,29.865343,42.141754,35.161568,49.896175,8.221104,105.899933,54.610718,46.062805,21.311766,64.779999,32.264484,70.438110
2007-06-25,3.659144,20.868093,34.891548,29.644665,42.065163,35.190388,49.772800,8.189908,105.393463,54.660889,46.315796,21.230545,64.430000,31.735479,70.407448
2007-06-26,3.578687,20.889322,35.199875,29.791779,41.784283,35.253754,49.519955,8.033944,104.310204,54.594044,46.326828,20.986891,63.619999,31.613190,70.422791
2007-06-27,3.645685,21.136988,35.085690,30.184093,42.632011,35.392014,49.038864,8.179981,105.794434,54.699810,46.370785,20.954401,63.669998,32.423920,70.407448
2007-06-28,3.605906,21.108686,35.114223,30.012451,42.693321,35.351685,48.779812,8.131771,105.780342,54.660889,46.359783,20.889427,64.260002,32.256329,70.438110
2007-06-29,3.650171,20.853939,35.182751,29.699835,42.836308,35.253754,48.292576,8.045283,105.815544,54.766602,46.838223,20.873186,64.269997,32.134048,70.468742
2007-07-02,3.626841,21.044998,35.314068,30.128920,43.316338,35.570625,49.618607,8.138865,106.772125,54.912582,47.084469,21.003138,65.019997,32.876820,70.488731
2007-07-03,3.803607,21.243130,35.371166,30.481050,43.592110,35.599422,48.101383,8.055210,107.159035,54.851082,46.797409,21.027500,64.739998,32.786243,70.488731
2007-07-05,3.970504,21.221910,35.559578,30.141279,43.489967,35.530289,47.792995,8.055210,107.046509,54.621830,46.272915,21.222424,64.419998,33.279903,70.488731
2007-07-06,3.957044,21.207758,35.473942,30.252478,44.153885,35.420837,48.607121,8.011251,107.609200,54.526730,46.085278,21.401108,64.959999,33.239151,70.519524
2007-07-09,3.898122,21.136988,35.810814,30.141279,44.654335,35.443874,49.236229,7.937521,107.693649,54.621830,46.250866,21.352375,65.379997,33.216499,70.534950
2007-07-10,3.958539,20.754869,35.513912,29.350529,44.174290,35.161568,50.093506,7.875132,106.160202,54.856667,47.034771,21.506689,65.610001,32.374088,70.550301
2007-07-11,3.959735,20.868093,35.890736,29.733538,44.577728,35.466904,50.679462,7.843937,106.912865,54.733620,46.548950,21.555422,65.440002,32.310677,70.550301
2007-07-12,4.009984,21.278519,36.176228,30.598440,45.767620,36.256226,51.863640,8.001320,108.601089,54.677715,46.388882,21.612276,66.019997,32.727356,70.565666
2007-07-13,4.119452,21.101601,36.216194,30.919674,46.130230,36.100666,52.505062,8.147370,108.924644,54.744789,46.515854,21.644760,66.029999,33.039856,70.581055
2007-07-16,4.130519,21.250208,36.427448,30.783768,45.808483,36.382977,52.979973,8.151627,108.910561,54.856667,46.962978,21.263035,65.820000,32.763573,70.596474
2007-07-17,4.154747,21.780941,35.822239,30.839361,45.496964,36.112206,53.331524,8.223940,108.854309,54.755993,46.863628,21.133085,65.750000,32.645844,70.627213
2007-07-18,4.131118,21.880009,35.513912,30.196875,46.548988,36.262833,53.405849,8.294834,108.657333,54.895859,47.040287,21.376738,66.620003,32.573364,70.611832
2007-07-19,4.187348,22.297506,35.622395,30.036266,47.131165,36.378693,53.870380,8.443715,109.079391,54.895859,47.029240,21.449837,67.010002,32.695656,70.627213
2007-07-20,4.299509,22.049828,35.279808,29.381424,46.952415,36.007896,51.529263,8.311846,107.974998,55.024403,47.454296,21.441715,67.580002,32.124992,70.657990
2007-07-23,4.298013,22.071064,35.399696,29.128134,47.718452,36.697361,50.786041,8.486256,108.305603,54.990852,47.377029,21.344255,67.470001,31.567905,70.657990
2007-07-24,4.034512,21.795090,35.097095,28.009966,46.390659,36.477207,50.575466,8.153045,106.427498,55.102684,47.553684,21.181816,67.470001,30.929287,70.657990
2007-07-25,4.105396,21.731407,35.131371,27.966713,47.386509,36.488777,49.857021,8.260806,106.645538,55.069115,47.647564,21.368620,66.900002,30.594145,70.673409
2007-07-26,4.366806,21.214828,34.805904,27.231565,45.057793,36.245449,48.488277,7.984313,104.120293,55.264896,48.045048,21.141209,65.650002,30.032532,70.688759
2007-07-27,4.302501,20.797321,34.126457,27.324226,43.709564,36.396091,47.082382,7.787217,102.073318,55.208973,48.183041,21.344255,65.410004,29.036140,70.719543
2007-07-30,4.230120,20.804405,34.297749,27.645464,43.924061,36.656788,47.714069,8.194160,103.670090,55.180943,48.045048,21.100595,65.769997,29.597746,70.657990
