,sleeve,sector,Equal Weight,Minimum Variance,Volatility Target 8%,60/40 Benchmark,annualised_volatility,Equal Weight risk %,Minimum Variance risk %,Volatility Target 8% risk %,60/40 Benchmark risk %
AAPL,equity,Information Technology,0.07524494996863823,0.0,0.0460777839841244,0.0,0.2679210949954514,0.13409545084070565,0.0,0.08380281512298564,0.0
MSFT,equity,Information Technology,0.08492510182350477,0.0599021326653285,0.07869001829979914,0.0,0.2621909278556922,0.10834091443054682,0.11700864063201183,0.1085386035809511,0.0
JNJ,equity,Health Care,0.06620688408143013,0.0737705475394085,0.08025661889731751,0.0,0.17927079756822076,0.04174042305871358,0.10733699578979143,0.06892789691219409,0.0
JPM,equity,Financials,0.06780237748179657,0.038559418515783206,0.050616156306070983,0.0,0.23007381850694844,0.09801706920919695,0.06262158962229986,0.07259964396583685,0.0
XOM,equity,Energy,0.07698202968748859,0.0,0.06329120726149408,0.0,0.23468445072418562,0.0917107530941816,0.0,0.08959525582881961,0.0
PG,equity,Consumer Staples,0.06357752468924667,0.0775710919856755,0.07625600668117988,0.0,0.17824027670585355,0.040636970416766505,0.1040553210859205,0.06363779258295606,0.0
CAT,equity,Industrials,0.04836247642376163,0.0,0.02502993255668459,0.0,0.3245862251900067,0.09564699089036745,0.0,0.04746969667871989,0.0
NEE,equity,Utilities,0.058196551018773225,0.0,0.03514269181384951,0.0,0.2711881843618011,0.08346755956735537,0.0,0.05690402705477574,0.0
SPY,equity_beta,Broad Equity,0.06484243841702124,0.0071908101923107036,0.050129188156145164,0.6104284779007766,0.1531358689508237,0.0849878909948664,0.011128473402554953,0.06874938427532933,0.9203059967933853
AGG,fixed_income,Core Bonds,0.06207303970552178,0.23177360951530743,0.19190598922909433,0.3895715220992234,0.05227371356962302,0.011913756168526088,0.11574544630461275,0.05553852974736529,0.07969400320661478
TLT,fixed_income,Long Duration Treasuries,0.05961652778972934,0.07776818929603076,0.07945332858324855,0.0,0.13451355095737794,0.025055122125074842,0.09360376954080722,0.05235401548703637,0.0
DBC,commodity,Broad Commodities,0.07955433587759787,0.18976421768963536,0.11724842315190465,0.0,0.17151293047837446,0.047453123930135406,0.3820504261606633,0.09580475386573757,0.0
GLD,commodity,Precious Metals,0.06772414713393664,0.003972593850487993,0.06352556433807438,0.0,0.21364681809838534,0.06141754668379474,0.006558352015107799,0.07526018226433485,0.0
VNQ,real_estate,U.S. REITs,0.060688414547004854,0.0,0.042377090741012806,0.0,0.16831112977517923,0.07554418040409683,0.0,0.060817402632957596,0.0
BIL,cash,T-Bills,0.06420320135454853,0.239727388750032,0.0,0.0,0.0022731967652405236,-2.7751814328342997e-05,-0.0001090145537698533,-0.0,-0.0
