,weight,marginal_var,component_var,pct_var_contribution
AAPL,0.07524494996863823,0.0163333845108569,0.001229004700337958,0.13409545084070568
MSFT,0.08492510182350477,0.011692191496631968,0.0009929605533913865,0.10834091443054684
JPM,0.06780237748179657,0.013249402362204957,0.0008983409803704277,0.09801706920919698
CAT,0.04836247642376163,0.018126012681617527,0.0008766188609715319,0.09564699089036746
XOM,0.07698202968748859,0.010918686621167973,0.0008405426576191374,0.09171075309418163
SPY,0.06484243841702124,0.012012605450100874,0.0007789266291261396,0.08498789099486641
NEE,0.058196551018773225,0.013144981148477352,0.0007649925660481745,0.0834675595673554
VNQ,0.060688414547004854,0.011408662192489432,0.00069237362056454,0.07554418040409684
GLD,0.06772414713393664,0.008311672433240385,0.000562900926797857,0.06141754668379473
DBC,0.07955433587759787,0.005466891474953691,0.00043491492060484236,0.047453123930135406
JNJ,0.06620688408143013,0.005778208337894543,0.0003825571696253371,0.041740423058713595
PG,0.06357752468924667,0.005858105742280194,0.0003724438624620367,0.04063697041676651
TLT,0.05961652778972934,0.003851849810406858,0.00022963391126398414,0.025055122125074845
AGG,0.06207303970552178,0.001759078389538438,0.00010919134271894478,0.01191375616852609
BIL,0.06420320135454853,-3.96163259777538e-06,-2.5434949536771587e-07,-2.7751814328343e-05
