,weight,marginal_var,component_var,pct_var_contribution
DBC,0.18976421768963536,0.013845728388267467,0.0026274238159427516,0.3820504261606634
MSFT,0.0599021326653285,0.013433373592942997,0.000804687727107392,0.11700864063201188
AGG,0.23177360951530743,0.003434388121087751,0.0007960005313010027,0.1157454463046128
JNJ,0.0737705475394085,0.010006354221375283,0.0007381742297841262,0.10733699578979145
PG,0.0775710919856755,0.009225158407308741,0.000715605611395774,0.10405532108592053
TLT,0.07776818929603076,0.008277530605065277,0.0006437285669984045,0.09360376954080722
JPM,0.038559418515783206,0.011168711055977063,0.00043065900388927455,0.06262158962229987
SPY,0.0071908101923107036,0.010643077156934968,7.65323476976372e-05,0.011128473402554956
GLD,0.003972593850487993,0.011353506192809056,4.5102868883030605e-05,0.0065583520151077995
AAPL,0.0,0.012512460335495197,0.0,0.0
XOM,0.0,0.014651705225827556,0.0,0.0
CAT,0.0,0.011067658239251762,0.0,0.0
NEE,0.0,0.013229516959684197,0.0,0.0
VNQ,0.0,0.012436327020955368,0.0,0.0
BIL,0.239727388750032,-3.127348429837827e-06,-7.497110727965349e-07,-0.00010901455376985333
