,weight,marginal_var,component_var,pct_var_contribution
MSFT,0.07869001829979914,0.015444059743149599,0.0012152933438116331,0.10853860358095106
DBC,0.11724842315190465,0.009149069743290744,0.0010727140007076408,0.09580475386573756
XOM,0.06329120726149408,0.01585033784686339,0.0010031870178305346,0.0895952558288196
AAPL,0.0460777839841244,0.020364038659536766,0.0009383297743984933,0.08380281512298564
GLD,0.06352556433807438,0.013265194536380254,0.0008426789689778965,0.07526018226433485
JPM,0.050616156306070983,0.016059877111406225,0.0008128892501272293,0.07259964396583685
JNJ,0.08025661889731751,0.009616367625445868,0.0007717771516919112,0.06892789691219407
SPY,0.050129188156145164,0.015355891368894016,0.0007697783677366137,0.06874938427532933
PG,0.07625600668117988,0.009344109895864715,0.0007125445066487388,0.06363779258295606
VNQ,0.042377090741012806,0.016069176450872257,0.0006809649485919598,0.06081740263295759
NEE,0.03514269181384951,0.01813029487822062,0.0006371473653995215,0.056904027054775735
AGG,0.19190598922909433,0.0032404307084666246,0.0006218580606366225,0.05553852974736528
TLT,0.07945332858324855,0.007377934418678166,0.0005862014476328952,0.05235401548703637
CAT,0.02502993255668459,0.021235068523031267,0.0005315123329680485,0.0474696966787199
BIL,0.0,-5.452359474555499e-06,-0.0,-0.0
