,AAPL,MSFT,JNJ,JPM,XOM,PG,CAT,NEE,SPY,AGG,TLT,DBC,GLD,VNQ,BIL
AAPL,1.0,0.5473152573152974,0.32333844676701007,0.4166471718710467,0.34093206089851186,0.3403283112656396,0.4158676106173932,0.3086283592622315,0.6659107429275796,-0.005136162830931201,-0.19147025635195203,0.24300286211662228,0.01348997670613009,0.4521836887370081,-0.11092481159577212
MSFT,0.5473152573152974,1.0,0.37075097907515114,0.4356433104757771,0.3787596471870871,0.3914230719685403,0.42737262126082687,0.3652207798456683,0.7265425339415881,0.012811729763072256,-0.20009552530690422,0.24139286767915125,0.029331027726370522,0.48325673514155343,-0.08115012001638428
JNJ,0.32333844676701007,0.37075097907515114,1.0,0.36929035909974056,0.4213963854682885,0.565134658196126,0.3603433260250216,0.4555789089100927,0.5564607881239219,0.0028236409057011322,-0.19311824767089492,0.16171354835339657,0.020856562266867287,0.43735167681569975,-0.07196675027555327
JPM,0.4166471718710467,0.4356433104757771,0.36929035909974056,1.0,0.4706311669103392,0.3712857686787752,0.5398045433169918,0.29955146528802956,0.7123796865167508,-0.1356256614007654,-0.33443851049329715,0.2506271908109808,-0.06182498505662326,0.6883804921208132,-0.06799839970400427
XOM,0.34093206089851186,0.3787596471870871,0.4213963854682885,0.4706311669103392,1.0,0.3730568333311953,0.5411729223800049,0.39712469891058,0.6295099917914556,-0.07567213664662502,-0.30316946355899116,0.550306139560666,0.08735214922824089,0.4559658358716177,-0.08256513247667584
PG,0.3403283112656396,0.3914230719685403,0.565134658196126,0.3712857686787752,0.3730568333311953,1.0,0.3129176488830105,0.4916507079074174,0.5555212595871534,0.028114516210169884,-0.13867753442960368,0.1402027997480581,0.03928579662781392,0.4782511045646729,-0.06393511040540224
CAT,0.4158676106173932,0.42737262126082687,0.3603433260250216,0.5398045433169918,0.5411729223800049,0.3129176488830105,1.0,0.3157121269807614,0.7006133869993247,-0.06378999511838915,-0.2866580395305729,0.40026653533821316,0.09450800756528173,0.5291691599577986,-0.07780789525883088
NEE,0.3086283592622315,0.3652207798456683,0.4555789089100927,0.29955146528802956,0.39712469891058,0.4916507079074174,0.3157121269807614,1.0,0.5424665862330907,0.15085984245253015,-0.03882359502408966,0.18513516688368406,0.11010110569109474,0.4923842044550323,-0.06499642935053519
SPY,0.6659107429275796,0.7265425339415881,0.5564607881239219,0.7123796865167508,0.6295099917914556,0.5555212595871534,0.7006133869993247,0.5424665862330907,1.0,0.0022213090776126527,-0.30658499335179046,0.39523842944828597,0.06059664352658838,0.7470283822102958,-0.11977209460297143
AGG,-0.005136162830931201,0.012811729763072256,0.0028236409057011322,-0.1356256614007654,-0.07567213664662502,0.028114516210169884,-0.06378999511838915,0.15085984245253015,0.0022213090776126527,1.0,0.711263083244203,-0.0435734939291402,0.2225839362541152,0.01897575818603614,-0.025584038283723767
TLT,-0.19147025635195203,-0.20009552530690422,-0.19311824767089492,-0.33443851049329715,-0.30316946355899116,-0.13867753442960368,-0.2866580395305729,-0.03882359502408966,-0.30658499335179046,0.711263083244203,1.0,-0.23670195313858625,0.16947623517954558,-0.15724592468950296,0.062434684932390794
DBC,0.24300286211662228,0.24139286767915125,0.16171354835339657,0.2506271908109808,0.550306139560666,0.1402027997480581,0.40026653533821316,0.18513516688368406,0.39523842944828597,-0.0435734939291402,-0.23670195313858625,1.0,0.336294585115561,0.2692064277046456,-0.06582959033694691
GLD,0.01348997670613009,0.029331027726370522,0.020856562266867287,-0.06182498505662326,0.08735214922824089,0.03928579662781392,0.09450800756528173,0.11010110569109474,0.06059664352658838,0.2225839362541152,0.16947623517954558,0.336294585115561,1.0,0.05473333987536811,0.03337114736879171
VNQ,0.4521836887370081,0.48325673514155343,0.43735167681569975,0.6883804921208132,0.4559658358716177,0.4782511045646729,0.5291691599577986,0.4923842044550323,0.7470283822102958,0.01897575818603614,-0.15724592468950296,0.2692064277046456,0.05473333987536811,1.0,-0.0606222126595307
BIL,-0.11092481159577212,-0.08115012001638428,-0.07196675027555327,-0.06799839970400427,-0.08256513247667584,-0.06393511040540224,-0.07780789525883088,-0.06499642935053519,-0.11977209460297143,-0.025584038283723767,0.062434684932390794,-0.06582959033694691,0.03337114736879171,-0.0606222126595307,1.0
