,AAPL,MSFT,JNJ,JPM,XOM,PG,CAT,NEE,SPY,AGG,TLT,DBC,GLD,VNQ,BIL
AAPL,1.0,0.34889931248750505,0.057902897989401264,0.276292030420491,0.10467024003285595,0.14842037009509446,0.24955890374957565,0.10395597521535034,0.6043821179751401,0.13995458945057723,0.10903414897143882,0.051299490950542696,0.04898153783331851,0.33006980972996264,-0.02027843254424647
MSFT,0.34889931248750505,1.0,-0.15774527852482095,0.22992089445633315,-0.037192576503338896,-0.04218930835210588,0.11697605918506687,-0.04550988376783336,0.567563833490901,0.03220017279477466,-0.005219294075534178,0.01136162707857258,0.056590543340043466,0.14345195375521366,-0.0013955859896208505
JNJ,0.057902897989401264,-0.15774527852482095,1.0,0.11676708967840307,0.15750248825883206,0.3859435351693227,0.016121832549738535,0.27614450557245607,0.008816598906373473,0.18369762453204547,0.16703943540325078,-0.09154517016128938,0.07040117237464982,0.3512264757636012,0.0022837938211343147
JPM,0.276292030420491,0.22992089445633315,0.11676708967840307,1.0,0.2011608858244746,0.06102495335623362,0.4664693642440163,0.09757192969124942,0.5783261056186006,-0.018051434550966517,-0.040371285421181784,0.033189892930916454,0.06695444804491504,0.3673684434164088,-0.025867356732117666
XOM,0.10467024003285595,-0.037192576503338896,0.15750248825883206,0.2011608858244746,1.0,0.062262112636880605,0.16505450492191462,0.17920445608047994,0.13335672609535149,-0.106696700515844,-0.09150074294773765,0.5913589869339057,0.04806653406678409,0.1634774355558422,-0.011157585274159507
PG,0.14842037009509446,-0.04218930835210588,0.3859435351693227,0.06102495335623362,0.062262112636880605,1.0,-0.034669370251748426,0.3209968755797752,0.0877438154280779,0.18132368734845006,0.17094392932314076,-0.19092684518664532,0.056179038351525996,0.348398157487228,0.05965938358496908
CAT,0.24955890374957565,0.11697605918506687,0.016121832549738535,0.4664693642440163,0.16505450492191462,-0.034669370251748426,1.0,0.1466760920674895,0.6098021617713982,0.1172551036573402,0.07926838753619442,0.08911572549655937,0.1785273052614068,0.3165410222532819,-0.06767718622036131
NEE,0.10395597521535034,-0.04550988376783336,0.27614450557245607,0.09757192969124942,0.17920445608047994,0.3209968755797752,0.1466760920674895,1.0,0.18458627075327433,0.28799051491175126,0.25949047379572937,0.05762677193527906,0.14241188928386522,0.4445053067449389,0.03147503317273459
SPY,0.6043821179751401,0.567563833490901,0.008816598906373473,0.5783261056186006,0.13335672609535149,0.0877438154280779,0.6098021617713982,0.18458627075327433,1.0,0.20976784845799168,0.15101903572276615,0.09065315129453126,0.17710063931589415,0.5199645400361108,-0.061583713238390056
AGG,0.13995458945057723,0.03220017279477466,0.18369762453204547,-0.018051434550966517,-0.106696700515844,0.18132368734845006,0.1172551036573402,0.28799051491175126,0.20976784845799168,1.0,0.9346831801982968,-0.18307551080735016,0.21967106167616987,0.48649985344446456,-0.002187005456556464
TLT,0.10903414897143882,-0.005219294075534178,0.16703943540325078,-0.040371285421181784,-0.09150074294773765,0.17094392932314076,0.07926838753619442,0.25949047379572937,0.15101903572276615,0.9346831801982968,1.0,-0.1798781967297189,0.1351573221510485,0.43398643550733385,-0.042263119637974904
DBC,0.051299490950542696,0.01136162707857258,-0.09154517016128938,0.033189892930916454,0.5913589869339057,-0.19092684518664532,0.08911572549655937,0.05762677193527906,0.09065315129453126,-0.18307551080735016,-0.1798781967297189,1.0,0.3003819365410348,-0.027754744637388473,-0.0347108227917022
GLD,0.04898153783331851,0.056590543340043466,0.07040117237464982,0.06695444804491504,0.04806653406678409,0.056179038351525996,0.1785273052614068,0.14241188928386522,0.17710063931589415,0.21967106167616987,0.1351573221510485,0.3003819365410348,1.0,0.16158413556824525,0.013425211136243596
VNQ,0.33006980972996264,0.14345195375521366,0.3512264757636012,0.3673684434164088,0.1634774355558422,0.348398157487228,0.3165410222532819,0.4445053067449389,0.5199645400361108,0.48649985344446456,0.43398643550733385,-0.027754744637388473,0.16158413556824525,1.0,0.03934941561263093
BIL,-0.02027843254424647,-0.0013955859896208505,0.0022837938211343147,-0.025867356732117666,-0.011157585274159507,0.05965938358496908,-0.06767718622036131,0.03147503317273459,-0.061583713238390056,-0.002187005456556464,-0.042263119637974904,-0.0347108227917022,0.013425211136243596,0.03934941561263093,1.0
