,weight,annualised_volatility,marginal_contribution,component_contribution,pct_risk_contribution
AAPL,0.07524494996863823,0.2679210949954514,0.15763374725499507,0.011861143425571067,0.13409545084070565
MSFT,0.08492510182350477,0.2621909278556922,0.11284152148698741,0.009583077702201606,0.10834091443054682
JPM,0.06780237748179657,0.23007381850694844,0.12787018770391875,0.008669902735369281,0.09801706920919695
CAT,0.04836247642376163,0.3245862251900067,0.17493442953575772,0.008460262224127272,0.09564699089036745
XOM,0.07698202968748859,0.23468445072418562,0.10537641393635393,0.008112090226009484,0.0917107530941816
SPY,0.06484243841702124,0.1531358689508237,0.11593384152173086,0.007517432979321534,0.0849878909948664
NEE,0.058196551018773225,0.2711881843618011,0.12686241695059716,0.007382955120430309,0.08346755956735537
VNQ,0.060688414547004854,0.16831112977517923,0.11010517577499608,0.006682108551203799,0.07554418040409683
GLD,0.06772414713393664,0.21364681809838534,0.08021607957229115,0.005432565575461416,0.06141754668379474
DBC,0.07955433587759787,0.17151293047837446,0.0527610544195856,0.004197370644551932,0.047453123930135406
JNJ,0.06620688408143013,0.17927079756822076,0.055765578292541404,0.003692065177748205,0.04174042305871358
PG,0.06357752468924667,0.17824027670585355,0.056536669381524594,0.0035944614934516565,0.040636970416766505
TLT,0.05961652778972934,0.13451355095737794,0.037174262264766875,0.002216200439370161,0.025055122125074842
AGG,0.06207303970552178,0.05227371356962302,0.0169768928218098,0.0010538073422045877,0.011913756168526088
BIL,0.06420320135454853,0.0022731967652405236,-3.823377764845819e-05,-2.4547309249089984e-06,-2.7751814328342997e-05
