,weight,annualised_volatility,marginal_contribution,component_contribution,pct_risk_contribution
DBC,0.18976421768963536,0.17151293047837446,0.09448033403260418,0.017928986674752564,0.3820504261606633
MSFT,0.0599021326653285,0.2621909278556922,0.09166651176845984,0.005491019548922178,0.11700864063201183
AGG,0.23177360951530743,0.05227371356962302,0.023435541112660913,0.005431739954625803,0.11574544630461275
JNJ,0.0737705475394085,0.17927079756822076,0.06828125345035713,0.005037145453709971,0.10733699578979143
PG,0.0775710919856755,0.17824027670585355,0.06295053776764724,0.004883141955721903,0.1040553210859205
TLT,0.07776818929603076,0.13451355095737794,0.05648412525514899,0.004392668145063138,0.09360376954080722
JPM,0.038559418515783206,0.23007381850694844,0.07621293164876201,0.002938726327759394,0.06262158962229986
SPY,0.0071908101923107036,0.1531358689508237,0.07262611664216116,0.0005222406197783984,0.011128473402554953
GLD,0.003972593850487993,0.21364681809838534,0.07747393473692618,0.0003077724767090211,0.006558352015107799
AAPL,0.0,0.2679210949954514,0.08538239368244784,0.0,0.0
XOM,0.0,0.23468445072418562,0.09998015019971503,0.0,0.0
CAT,0.0,0.3245862251900067,0.07552336851337418,0.0,0.0
NEE,0.0,0.2711881843618011,0.09027543704382678,0.0,0.0
VNQ,0.0,0.16831112977517923,0.08486287598088527,0.0,0.0
BIL,0.239727388750032,0.0022731967652405236,-2.1340366934959856e-05,-5.11587044028545e-06,-0.0001090145537698533
