,weight,annualised_volatility,marginal_contribution,component_contribution,pct_risk_contribution
MSFT,0.07869001829979914,0.2621909278556922,0.10538701052295132,0.008292905786612166,0.1085386035809511
DBC,0.11724842315190465,0.17151293047837446,0.062431324751840385,0.007319974382437759,0.09580475386573757
XOM,0.06329120726149408,0.23468445072418562,0.10815936672354952,0.006845536896572119,0.08959525582881961
AAPL,0.0460777839841244,0.2679210949954514,0.13895991029523955,0.006402964729037351,0.08380281512298564
GLD,0.06352556433807438,0.21364681809838534,0.09051889331201227,0.005750263780903525,0.07526018226433485
JPM,0.050616156306070983,0.23007381850694844,0.10958921852706527,0.005546985014426106,0.07259964396583685
JNJ,0.08025661889731751,0.17927079756822076,0.06562006706720724,0.0052664447146292676,0.06892789691219409
SPY,0.050129188156145164,0.1531358689508237,0.1047853681089749,0.005252805433945735,0.06874938427532933
PG,0.07625600668117988,0.17824027670585355,0.06376223766939941,0.0048622536217247,0.06363779258295606
VNQ,0.042377090741012806,0.16831112977517923,0.10965267526075201,0.004646761369519698,0.060817402632957596
NEE,0.03514269181384951,0.2711881843618011,0.12371731325131398,0.004347759411628408,0.05690402705477574
AGG,0.19190598922909433,0.05227371356962302,0.02211201658446983,0.0042434284164928225,0.05553852974736529
TLT,0.07945332858324855,0.13451355095737794,0.05034547037178921,0.004000115200127973,0.05235401548703637
CAT,0.02502993255668459,0.3245862251900067,0.14490363460844136,0.003626928201467754,0.04746969667871989
BIL,0.0,0.0022731967652405236,-3.7205752559638216e-05,-0.0,-0.0
