scenario,portfolio,start,end,trading_days,total_return,max_drawdown,worst_day,annualised_volatility,note,loss_usd
Global Financial Crisis,equal_weight,2007-10-09,2009-03-09,356,-0.2947470355527707,-0.3430675628867734,-0.054482906263058996,0.22645875514769387,S&P 500 peak to trough; credit and liquidity crisis.,-294747.0355527707
Global Financial Crisis,minimum_variance,2007-10-09,2009-03-09,356,-0.11200567309369114,-0.22026375171261958,-0.027145278409243932,0.10682043984462085,S&P 500 peak to trough; credit and liquidity crisis.,-112005.67309369113
Global Financial Crisis,volatility_target,2007-10-09,2009-03-09,356,-0.2252848638013819,-0.2930527473908574,-0.04422396173895925,0.18309868894415554,S&P 500 peak to trough; credit and liquidity crisis.,-225284.8638013819
Global Financial Crisis,benchmark,2007-10-09,2009-03-09,356,-0.30640074308993015,-0.3098019003589232,-0.04702927264413283,0.19771404229766723,S&P 500 peak to trough; credit and liquidity crisis.,-306400.74308993015
Euro Crisis / U.S. Downgrade,equal_weight,2011-07-07,2011-10-03,62,-0.06459661202668598,-0.09239819688283424,-0.0356740390614332,0.18320185123922902,U.S. sovereign downgrade and euro-area sovereign stress.,-64596.61202668599
Euro Crisis / U.S. Downgrade,minimum_variance,2011-07-07,2011-10-03,62,-0.01291947245827596,-0.035458293518502604,-0.013904061522428068,0.07489263912497073,U.S. sovereign downgrade and euro-area sovereign stress.,-12919.47245827596
Euro Crisis / U.S. Downgrade,volatility_target,2011-07-07,2011-10-03,62,-0.037740357119005696,-0.07126462045035586,-0.02709563458150402,0.14161819606927445,U.S. sovereign downgrade and euro-area sovereign stress.,-37740.3571190057
Euro Crisis / U.S. Downgrade,benchmark,2011-07-07,2011-10-03,62,-0.09151603775103179,-0.09626815006800571,-0.0375544324164792,0.18429536364975252,U.S. sovereign downgrade and euro-area sovereign stress.,-91516.03775103179
China Devaluation / Oil Collapse,equal_weight,2015-08-10,2016-02-11,129,-0.02540807558887237,-0.08204387914799016,-0.02719836914758818,0.13880580340787518,"CNY devaluation, commodity price collapse.",-25408.07558887237
China Devaluation / Oil Collapse,minimum_variance,2015-08-10,2016-02-11,129,-0.020786306718669212,-0.05230692110738666,-0.013741968942945076,0.07004695859931355,"CNY devaluation, commodity price collapse.",-20786.306718669213
China Devaluation / Oil Collapse,volatility_target,2015-08-10,2016-02-11,129,-0.01403210979853986,-0.0715971309986837,-0.02351040595896802,0.11671976379339737,"CNY devaluation, commodity price collapse.",-14032.109798539861
China Devaluation / Oil Collapse,benchmark,2015-08-10,2016-02-11,129,-0.05923724048149437,-0.07176363385320583,-0.025295996011751923,0.11698211398940553,"CNY devaluation, commodity price collapse.",-59237.240481494366
COVID-19 Crash,equal_weight,2020-02-19,2020-03-23,24,-0.23849634267848596,-0.24021491147186935,-0.06752562957765022,0.5014262691650527,Fastest 30% equity drawdown on record; correlations to one.,-238496.34267848596
COVID-19 Crash,minimum_variance,2020-02-19,2020-03-23,24,-0.10914979477454279,-0.11305534198910627,-0.03417737928414867,0.23049546892092407,Fastest 30% equity drawdown on record; correlations to one.,-109149.79477454278
COVID-19 Crash,volatility_target,2020-02-19,2020-03-23,24,-0.20073284183924367,-0.20276489189685298,-0.06093829597341886,0.4153301904454919,Fastest 30% equity drawdown on record; correlations to one.,-200732.84183924366
COVID-19 Crash,benchmark,2020-02-19,2020-03-23,24,-0.20922280406418547,-0.21144384061929644,-0.07116464003151979,0.44986293511695996,Fastest 30% equity drawdown on record; correlations to one.,-209222.80406418547
2022 Inflation and Rate Shock,equal_weight,2022-01-03,2022-10-12,196,-0.10065067689100438,-0.13928214925669136,-0.02933843590282024,0.14842637308418144,Simultaneous equity and duration losses; 60/40 diversification failure.,-100650.67689100438
2022 Inflation and Rate Shock,minimum_variance,2022-01-03,2022-10-12,196,-0.06974187818314725,-0.10333356201901889,-0.016628321010670546,0.08779823248771403,Simultaneous equity and duration losses; 60/40 diversification failure.,-69741.87818314726
2022 Inflation and Rate Shock,volatility_target,2022-01-03,2022-10-12,196,-0.09937311779015545,-0.1361520368428838,-0.026841296044686783,0.13244184883493673,Simultaneous equity and duration losses; 60/40 diversification failure.,-99373.11779015545
2022 Inflation and Rate Shock,benchmark,2022-01-03,2022-10-12,196,-0.20514539976471757,-0.20583669634822754,-0.029132568144425636,0.15567675442130216,Simultaneous equity and duration losses; 60/40 diversification failure.,-205145.3997647176
2018 Volatility Spike,equal_weight,2018-09-20,2018-12-24,66,-0.10790870964182564,-0.11774843028416249,-0.021325114417731366,0.1280055614809956,Policy-tightening drawdown and VIX spike.,-107908.70964182564
2018 Volatility Spike,minimum_variance,2018-09-20,2018-12-24,66,-0.045418981517125645,-0.057087526390343424,-0.01224213591785533,0.06502188662779128,Policy-tightening drawdown and VIX spike.,-45418.98151712564
2018 Volatility Spike,volatility_target,2018-09-20,2018-12-24,66,-0.08540867636543925,-0.09636457704781354,-0.018266857887337458,0.10673411485494341,Policy-tightening drawdown and VIX spike.,-85408.67636543926
2018 Volatility Spike,benchmark,2018-09-20,2018-12-24,66,-0.10721806483990459,-0.11207054402214112,-0.019414161977269306,0.1211048860840239,Policy-tightening drawdown and VIX spike.,-107218.06483990459
