scenario,portfolio,portfolio_impact,portfolio_impact_usd,stressed_annualised_volatility,correlation_override,worst_asset,worst_asset_shock,largest_loss_contributor,largest_loss_contribution,description
Equity Bear Market,equal_weight,-0.12074694151800726,-120746.94151800725,0.08845298890609742,,JPM,-0.25232973389643254,MSFT,-0.018431068942625566,Broad equity decline of 20% with a modest flight to quality that lifts long duration 5%.
Equity Bear Market,minimum_variance,-0.045034296081292995,-45034.296081292996,0.046928325286602096,,JPM,-0.25232973389643254,MSFT,-0.013000400508903496,Broad equity decline of 20% with a modest flight to quality that lifts long duration 5%.
Equity Bear Market,volatility_target,-0.0956730667076635,-95673.0667076635,0.07640512695952538,,JPM,-0.25232973389643254,MSFT,-0.017077885351191344,Broad equity decline of 20% with a modest flight to quality that lifts long duration 5%.
Equity Bear Market,benchmark,-0.12192990934176703,-121929.90934176704,0.09950749278972328,,JPM,-0.25232973389643254,SPY,-0.12208569558015525,Broad equity decline of 20% with a modest flight to quality that lifts long duration 5%.
Rate Shock (+200bp),equal_weight,-0.0728443028154413,-72844.3028154413,0.08845298890609742,,TLT,-0.29999999999999977,TLT,-0.017884958336918787,"Parallel upward shift of 200bp in the curve: long Treasuries -30%, equities -8% on the discount-rate effect, REITs -12% on their duration sensitivity."
Rate Shock (+200bp),minimum_variance,-0.057153075405731904,-57153.075405731906,0.046928325286602096,,TLT,-0.29999999999999977,TLT,-0.02333045678880921,"Parallel upward shift of 200bp in the curve: long Treasuries -30%, equities -8% on the discount-rate effect, REITs -12% on their duration sensitivity."
Rate Shock (+200bp),volatility_target,-0.0804601030038501,-80460.1030038501,0.07640512695952538,,TLT,-0.29999999999999977,TLT,-0.023835998574974548,"Parallel upward shift of 200bp in the curve: long Treasuries -30%, equities -8% on the discount-rate effect, REITs -12% on their duration sensitivity."
Rate Shock (+200bp),benchmark,-0.08390578603320531,-83905.78603320531,0.09950749278972328,,TLT,-0.29999999999999977,SPY,-0.048834278232062114,"Parallel upward shift of 200bp in the curve: long Treasuries -30%, equities -8% on the discount-rate effect, REITs -12% on their duration sensitivity."
Commodity Collapse,equal_weight,-0.09230055975808711,-92300.55975808711,0.08845298890609742,,DBC,-0.3,DBC,-0.02386630076327936,"Global demand shock: the commodity complex falls 30%, equities -10%, with a 6% duration rally as growth expectations are marked down."
Commodity Collapse,minimum_variance,-0.06585530288160218,-65855.30288160218,0.046928325286602096,,DBC,-0.3,DBC,-0.0569292653068906,"Global demand shock: the commodity complex falls 30%, equities -10%, with a 6% duration rally as growth expectations are marked down."
Commodity Collapse,volatility_target,-0.08547042896993015,-85470.42896993014,0.07640512695952538,,DBC,-0.3,DBC,-0.03517452694557139,"Global demand shock: the commodity complex falls 30%, equities -10%, with a 6% duration rally as growth expectations are marked down."
Commodity Collapse,benchmark,-0.0587591980474429,-58759.1980474429,0.09950749278972328,,DBC,-0.3,SPY,-0.06104284779007758,"Global demand shock: the commodity complex falls 30%, equities -10%, with a 6% duration rally as growth expectations are marked down."
Volatility Spike,equal_weight,-0.08180380638126256,-81803.80638126256,0.18147199377247805,0.9,JPM,-0.1547307402096315,JPM,-0.010491112055731234,Sharp risk-off repricing with pairwise correlations converging to 0.90.
Volatility Spike,minimum_variance,-0.03813635060030252,-38136.350600302525,0.1046055430585752,0.9,JPM,-0.1547307402096315,DBC,-0.01897642176896354,Sharp risk-off repricing with pairwise correlations converging to 0.90.
Volatility Spike,volatility_target,-0.0677502124685304,-67750.2124685304,0.16609745303557322,0.9,JPM,-0.1547307402096315,DBC,-0.011724842315190465,Sharp risk-off repricing with pairwise correlations converging to 0.90.
Volatility Spike,benchmark,-0.07238475136695469,-72384.75136695469,0.11215822627835453,0.9,JPM,-0.1547307402096315,SPY,-0.07325141734809314,Sharp risk-off repricing with pairwise correlations converging to 0.90.
Stagflation: Equity + Rate Shock,equal_weight,-0.14189777787137942,-141897.77787137943,0.08845298890609742,,MSFT,-0.30338147914781616,MSFT,-0.025764703007993776,"Combined shock in which bonds fail to hedge equities, as in 2022: equities -25%, long duration -20%, commodities +15%."
Stagflation: Equity + Rate Shock,minimum_variance,-0.05342556282370176,-53425.56282370176,0.046928325286602096,,MSFT,-0.30338147914781616,MSFT,-0.018173197612116075,"Combined shock in which bonds fail to hedge equities, as in 2022: equities -25%, long duration -20%, commodities +15%."
Stagflation: Equity + Rate Shock,volatility_target,-0.12084012913834266,-120840.12913834266,0.07640512695952538,,MSFT,-0.30338147914781616,MSFT,-0.023873094145961785,"Combined shock in which bonds fail to hedge equities, as in 2022: equities -25%, long duration -20%, commodities +15%."
Stagflation: Equity + Rate Shock,benchmark,-0.18035389544781402,-180353.89544781402,0.09950749278972328,,MSFT,-0.30338147914781616,SPY,-0.15260711947519412,"Combined shock in which bonds fail to hedge equities, as in 2022: equities -25%, long duration -20%, commodities +15%."
Severe Combined Stress,equal_weight,-0.22751942686087762,-227519.4268608776,0.18601068333160548,0.95,VNQ,-0.35,MSFT,-0.027383114547678753,"Severe scenario: equities decline 30%, long duration declines 25%, commodities decline 20% and REITs decline 35%, with correlations forced to 0.95. These are hypothetical stress assumptions, not forecasts."
Severe Combined Stress,minimum_variance,-0.13319370506457537,-133193.70506457536,0.10695141040419077,0.95,VNQ,-0.35,DBC,-0.03795284353792708,"Severe scenario: equities decline 30%, long duration declines 25%, commodities decline 20% and REITs decline 35%, with correlations forced to 0.95. These are hypothetical stress assumptions, not forecasts."
Severe Combined Stress,volatility_target,-0.21097902563475374,-210979.02563475375,0.17025842497776947,0.95,VNQ,-0.35,MSFT,-0.02537268414868074,"Severe scenario: equities decline 30%, long duration declines 25%, commodities decline 20% and REITs decline 35%, with correlations forced to 0.95. These are hypothetical stress assumptions, not forecasts."
Severe Combined Stress,benchmark,-0.21923934165969905,-219239.34165969904,0.11300367517556036,0.95,VNQ,-0.35,SPY,-0.18312854337023288,"Severe scenario: equities decline 30%, long duration declines 25%, commodities decline 20% and REITs decline 35%, with correlations forced to 0.95. These are hypothetical stress assumptions, not forecasts."
