,weight,asset_shock,loss_contribution,pct_of_total_impact
MSFT,0.07869001829979914,-0.3224384070164272,-0.02537268414868074,0.12026164246585277
DBC,0.11724842315190465,-0.2,-0.02344968463038093,0.11114699463527221
TLT,0.07945332858324855,-0.2499999999999999,-0.019863332145812127,0.09414837368810049
AGG,0.19190598922909433,-0.09269362938769632,-0.01778846264288091,0.08431389134233772
XOM,0.06329120726149408,-0.25653416638913595,-0.016236357094589413,0.07695720958868085
SPY,0.050129188156145164,-0.2999999999999998,-0.01503875644684354,0.07128081287510821
AAPL,0.0460777839841244,-0.32485843025682787,-0.014968756574795856,0.07094902694597577
VNQ,0.042377090741012806,-0.35,-0.014831981759354481,0.07030074062922048
JPM,0.050616156306070983,-0.2738251786391548,-0.013859978042537267,0.06569362997500813
PG,0.07625600668117988,-0.1567152497577271,-0.011950479132568012,0.056642972431092016
JNJ,0.08025661889731751,-0.13152620363826711,-0.01055584840040738,0.0500326910158436
NEE,0.03514269181384951,-0.27030069479744095,-0.009499094014335864,0.04502387849103383
GLD,0.06352556433807438,-0.14864891656133095,-0.00944300631280188,0.04475803357415056
CAT,0.02502993255668459,-0.32443572392273906,-0.0081206042887653,0.038490102342323196
BIL,0.0,0.0006904037935770948,0.0,-0.0
