portfolio,method,confidence,window,n_observations,n_exceptions,expected_exceptions,observed_rate,kupiec_p_value,kupiec_reject,independence_p_value,independence_reject,conditional_coverage_p_value,basel_zone,avg_breach_severity
Equal Weight,historical,0.95,500,4083,207,204.15000000000018,0.050698016164584865,0.838197252564907,False,1.146331418677704e-07,True,7.709276234058038e-07,n/a (defined for 99% only),1.626786236051272
Equal Weight,historical,0.99,500,4083,48,40.830000000000034,0.011756061719324026,0.27252753254175155,False,4.2579938575038057e-08,True,1.651995994444988e-07,Green,1.605037488099834
Equal Weight,normal,0.95,500,4083,193,204.15000000000018,0.04726916482978202,0.41925707159674674,False,6.710549627086948e-08,True,3.382542166363578e-07,n/a (defined for 99% only),1.6133417668279244
Equal Weight,normal,0.99,500,4083,78,40.830000000000034,0.019103600293901544,2.0553329360684103e-07,True,1.4656663549494908e-08,True,1.4832579608992091e-13,Green,1.5783153391659388
Equal Weight,student_t,0.95,500,4083,212,204.15000000000018,0.05192260592701445,0.5752660866439422,False,6.782396755333764e-09,True,4.330094061089085e-08,n/a (defined for 99% only),1.6304408725958215
Equal Weight,student_t,0.99,500,4083,43,40.830000000000034,0.010531471956894441,0.7350734827636773,False,6.384761275235462e-09,True,4.511145068608613e-08,Green,1.5295449325112562
Equal Weight,cornish_fisher,0.95,500,4083,189,204.15000000000018,0.046289493019838354,0.2708828398783749,False,5.5202471728188485e-06,True,1.791266378292633e-05,n/a (defined for 99% only),1.6132736895046134
Equal Weight,cornish_fisher,0.99,500,4083,29,40.830000000000034,0.007102620622091599,0.04969990699036542,True,9.619757439516263e-07,True,8.943590110721544e-07,Green,1.5014819736767226
Minimum Variance,historical,0.95,500,4083,212,204.15000000000018,0.05192260592701445,0.5752660866439422,False,2.623865347217702e-08,True,1.6118364909445404e-07,n/a (defined for 99% only),1.5742537575212683
Minimum Variance,historical,0.99,500,4083,49,40.830000000000034,0.012000979671809943,0.2128349520802929,False,2.6769571004336967e-09,True,9.434500625182807e-09,Green,1.5530068205108907
Minimum Variance,normal,0.95,500,4083,185,204.15000000000018,0.045309821209894685,0.16262051555238877,False,9.569278147658622e-09,True,2.670898924250764e-08,n/a (defined for 99% only),1.556881164587324
Minimum Variance,normal,0.99,500,4083,68,40.830000000000034,0.01665442076904237,9.592010317882593e-05,True,1.0352601842456011e-07,True,3.5420966160160106e-10,Green,1.5445217994563265
Minimum Variance,student_t,0.95,500,4083,163,204.15000000000018,0.039921626255204505,0.0022288246992854255,True,6.399041054150345e-06,True,3.526076255422339e-07,n/a (defined for 99% only),1.5080205738819388
Minimum Variance,student_t,0.99,500,4083,19,40.830000000000034,0.004653441097232427,0.00012547847796462452,True,0.0774634999094782,False,0.0001346376924049597,Green,1.349546812946541
Minimum Variance,cornish_fisher,0.95,500,4083,176,204.15000000000018,0.04310555963752143,0.03862691317036293,True,3.7376701778057964e-07,True,2.9062715678485063e-07,n/a (defined for 99% only),1.5288716374940905
Minimum Variance,cornish_fisher,0.99,500,4083,30,40.830000000000034,0.0073475385745775165,0.07382732344223109,False,1.3975316519587722e-06,True,1.7781528562910154e-06,Green,1.4998684956519377
