portfolio,sample,horizon_days,confidence,historical_var,historical_es,parametric_normal_var,parametric_normal_es,parametric_t_var,parametric_t_es,cornish_fisher_var,monte_carlo_var,monte_carlo_es,historical_var_usd,historical_es_usd,parametric_normal_var_usd,parametric_normal_es_usd,parametric_t_var_usd,parametric_t_es_usd,cornish_fisher_var_usd,monte_carlo_var_usd,monte_carlo_es_usd
Equal Weight,full_sample,1,0.95,0.01168848846254145,0.019867937534567844,0.013074060947489955,0.016517125496945333,0.010772176396892536,0.01978438357131209,0.011394096210981055,0.011007455500712084,0.018335289749232438,11688.48846254145,19867.93753456784,13074.060947489956,16517.125496945333,10772.176396892535,19784.38357131209,11394.096210981055,11007.455500712083,18335.289749232437
Equal Weight,full_sample,1,0.99,0.024457000034979706,0.03507289910224782,0.018689418445892433,0.021481600018674375,0.02316918152930007,0.039549745719380754,0.04164249891437435,0.021497117654462834,0.033207979385231234,24457.000034979705,35072.89910224782,18689.418445892432,21481.600018674373,23169.18152930007,39549.74571938076,41642.498914374344,21497.117654462832,33207.979385231236
Equal Weight,full_sample,10,0.95,0.036962245946230675,0.06282793501918472,0.038067457431265564,0.04895538353852602,0.029260935342555753,0.05776003675903191,0.03275494247513281,0.03614589142270901,0.052838235558381554,36962.24594623067,62827.935019184726,38067.45743126556,48955.38353852602,29260.935342555753,57760.03675903191,32754.94247513281,36145.89142270901,52838.23555838155
Equal Weight,full_sample,10,0.99,0.07733982484535361,0.1109102453083779,0.055824777002322724,0.06465443041306487,0.06846370772576084,0.12026359992500714,0.12840879059985022,0.06040550871757491,0.08435231927809768,77339.8248453536,110910.2453083779,55824.77700232273,64654.430413064874,68463.70772576083,120263.59992500713,128408.79059985022,60405.508717574914,84352.31927809768
Equal Weight,trailing_756d,1,0.95,0.008330904316897515,0.012472319910835838,0.00871047229192044,0.011099759574182135,0.00761694556783362,0.01159395969756967,0.007015190032440159,0.007823219240717915,0.011984178243939133,8330.904316897515,12472.319910835839,8710.47229192044,11099.759574182135,7616.945567833621,11593.95969756967,7015.1900324401595,7823.219240717915,11984.178243939132
Equal Weight,trailing_756d,1,0.99,0.013309362361587342,0.020944765346239146,0.012607205003018793,0.014544817216146953,0.013682048485514069,0.0188984603440923,0.029014165968226042,0.014129843429297222,0.019729211885931547,13309.362361587342,20944.765346239146,12607.205003018793,14544.817216146952,13682.04848551407,18898.4603440923,29014.165968226043,14129.843429297222,19729.211885931545
Equal Weight,trailing_756d,10,0.95,0.026344632610325328,0.039440938624509446,0.022794925526650876,0.030350515323071453,0.01814329844589444,0.030719721382532737,0.01743397230981661,0.02179319871046443,0.030636638499937318,26344.632610325327,39440.93862450944,22794.925526650877,30350.515323071453,18143.29844589444,30719.721382532738,17433.97230981661,21793.19871046443,30636.63849993732
Equal Weight,trailing_756d,10,0.99,0.042087899267133515,0.06623316355188089,0.035117476326604564,0.04124474414224916,0.03732283790909738,0.05381858059571673,0.08700084245813408,0.03583714648859307,0.04468903452309878,42087.899267133515,66233.16355188089,35117.47632660456,41244.744142249154,37322.837909097376,53818.58059571673,87000.84245813408,35837.14648859307,44689.03452309878
Minimum Variance,full_sample,1,0.95,0.004709845595228251,0.007266497331177298,0.005066570762805222,0.006409419847503636,0.004534020283895349,0.006912224904151371,0.0048046098925308665,0.005294861596823774,0.008838564174781077,4709.845595228251,7266.497331177297,5066.570762805222,6409.419847503636,4534.020283895349,6912.2249041513705,4804.609892530866,5294.861596823774,8838.564174781077
Minimum Variance,full_sample,1,0.99,0.008452057795549767,0.012244043180217854,0.007256648110665839,0.008345642643142756,0.008130853198393257,0.01136397223418802,0.015792134537869287,0.010513177479061034,0.016049419269419503,8452.057795549767,12244.043180217854,7256.648110665839,8345.642643142757,8130.853198393257,11363.972234188019,15792.134537869286,10513.177479061034,16049.419269419503
