year,observations,exceptions,worst_loss,average_var,exception_rate
2010,133,1,-0.008007022329248504,0.009708838345190365,0.007518796992481203
2011,252,3,-0.010671143026436293,0.007257365956797215,0.011904761904761904
2012,250,0,-0.0073530763736933576,0.00720805333941487,0.0
2013,252,4,-0.014799598560010707,0.006263015615989678,0.015873015873015872
2014,252,3,-0.006745110079326296,0.005769960099642733,0.011904761904761904
2015,252,7,-0.010753514269464812,0.006483316288761572,0.027777777777777776
2016,252,1,-0.008825118827909267,0.007268910480016398,0.003968253968253968
2017,251,0,-0.004685805309295589,0.006226909147582533,0.0
2018,251,4,-0.009210650396545561,0.005535123630639104,0.01593625498007968
2019,252,1,-0.005352274043152682,0.005222609189400757,0.003968253968253968
2020,253,11,-0.033637419225565124,0.008278729428165514,0.043478260869565216
2021,252,0,-0.00896566027054006,0.009348110692179546,0.0
2022,251,6,-0.015520699390355244,0.009192837910833999,0.02390438247011952
2023,250,1,-0.010122332617549865,0.009726950430632021,0.004
2024,252,3,-0.009315050612426032,0.008356638126228418,0.011904761904761904
2025,250,3,-0.017399919312008308,0.007838975853494487,0.012
2026,178,1,-0.011347213517508623,0.008123592084342214,0.0056179775280898875
