year,observations,exceptions,worst_loss,average_var,exception_rate
2010,133,0,-0.007558501983430542,0.01611370910432602,0.0
2011,252,5,-0.010645626825383706,0.007540537682731486,0.01984126984126984
2012,250,3,-0.010307972544787328,0.007990806940516472,0.012
2013,252,3,-0.019749601124705363,0.009582387985351305,0.011904761904761904
2014,252,0,-0.008166621001638372,0.008905465075740233,0.0
2015,252,9,-0.018415034673662112,0.009033647868376403,0.03571428571428571
2016,252,1,-0.014731446930678332,0.010344152141250467,0.003968253968253968
2017,251,0,-0.006297152838688132,0.009106119839854081,0.0
2018,251,8,-0.014827864922578992,0.008256286052294464,0.03187250996015936
2019,252,0,-0.006100628413316414,0.010088639592635234,0.0
2020,253,9,-0.05254684746826673,0.01914414841655365,0.03557312252964427
2021,252,0,-0.012188328064973558,0.023093705056395953,0.0
2022,251,5,-0.02337344950060685,0.013918465666854904,0.0199203187250996
2023,250,0,-0.009960437687225914,0.011955919614403105,0.0
2024,252,2,-0.014824682518825353,0.010589653320510447,0.007936507936507936
2025,250,4,-0.028548007770778226,0.01106291497026624,0.016
2026,178,1,-0.014072790294652308,0.012972708863396876,0.0056179775280898875
